"vendorid","tpep_pickup_datetime","tpep_dropoff_datetime","passenger_count","trip_distance","ratecodeid","store_and_fwd_flag","pulocationid","dolocationid","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount","congestion_surcharge"
1,2020-01-02 07:12:15,2020-01-02 07:16:50,1,1.2,1,N,141,237,2,6.0,2.5,0.5,0.0,0.0,0.3,9.3,2.5
2,2020-01-02 07:28:24,2020-01-02 07:39:45,1,2.79,1,N,48,137,2,11.0,0.0,0.5,0.0,0.0,0.3,14.3,2.5
2,2020-01-02 07:51:19,2020-01-02 07:54:26,1,0.6,1,N,100,230,2,4.0,0.0,0.5,0.0,0.0,0.3,7.3,2.5
2,2020-01-02 07:43:56,2020-01-02 07:51:34,1,1.3,1,N,140,161,1,7.5,0.0,0.5,0.86,0.0,0.3,11.66,2.5
2,2020-01-02 07:22:03,2020-01-02 08:11:46,1,17.84,2,N,132,90,1,52.0,0.0,0.5,3.07,6.12,0.3,64.49,2.5
1,2020-01-02 07:56:39,2020-01-02 07:59:03,1,0.7,1,N,100,230,2,4.0,2.5,0.5,0.0,0.0,0.3,7.3,2.5
2,2020-01-02 07:35:04,2020-01-02 07:35:25,1,0.04,2,N,45,45,1,52.0,0.0,0.5,12.28,6.12,0.3,73.7,2.5
2,2020-01-02 07:29:10,2020-01-02 07:38:10,1,1.19,1,N,137,186,1,7.5,0.0,0.5,2.16,0.0,0.3,12.96,2.5
2,2020-01-02 07:43:41,2020-01-02 07:53:46,1,2.29,1,N,100,140,2,9.5,0.0,0.5,0.0,0.0,0.3,12.8,2.5
2,2020-01-02 07:10:25,2020-01-02 07:29:36,1,5.73,1,N,7,246,2,19.5,0.0,0.5,0.0,0.0,0.3,22.8,2.5
2,2020-01-02 07:53:28,2020-01-02 08:05:43,1,2.59,1,N,79,186,2,11.0,0.0,0.5,0.0,0.0,0.3,14.3,2.5
2,2020-01-02 07:48:05,2020-01-02 08:15:33,1,18.51,2,N,48,132,2,52.0,0.0,0.5,0.0,6.12,0.3,61.42,2.5
2,2020-01-02 07:33:35,2020-01-02 07:44:55,1,5.42,1,N,50,152,1,17.0,0.0,0.5,0.0,0.0,0.3,20.3,2.5
2,2020-01-02 07:48:49,2020-01-02 07:50:49,2,0.48,1,N,144,79,2,4.0,0.0,0.5,0.0,0.0,0.3,7.3,2.5
2,2020-01-02 07:53:48,2020-01-02 08:00:48,2,2.2,1,N,79,162,1,8.0,0.0,0.5,2.26,0.0,0.3,13.56,2.5
2,2020-01-02 07:59:11,2020-01-02 08:13:32,1,2.93,1,N,148,164,1,12.5,0.0,0.5,0.0,0.0,0.3,15.8,2.5
2,2020-01-02 07:45:48,2020-01-02 08:09:18,1,11.41,1,N,132,138,2,31.5,0.0,0.5,0.0,0.0,0.3,32.3,0.0
2,2020-01-02 07:22:14,2020-01-02 07:25:01,1,1.13,1,N,79,137,1,5.0,0.0,0.5,1.66,0.0,0.3,9.96,2.5
2,2020-01-02 07:42:44,2020-01-02 07:45:23,1,0.52,1,N,43,43,1,4.0,0.0,0.5,0.96,0.0,0.3,5.76,0.0
2,2020-01-02 07:48:44,2020-01-02 08:31:13,3,15.56,1,N,132,256,1,44.0,0.0,0.5,8.96,0.0,0.3,53.76,0.0
2,2020-01-02 07:32:12,2020-01-02 07:56:10,1,2.53,1,N,75,42,1,15.5,0.0,0.5,2.44,0.0,0.3,18.74,0.0
1,2020-01-02 07:45:49,2020-01-02 08:15:34,1,18.0,2,N,79,132,1,52.0,2.5,0.5,12.25,6.12,0.3,73.67,2.5
1,2020-01-02 07:49:53,2020-01-02 08:14:59,3,11.3,1,N,132,138,1,31.5,0.0,0.5,6.45,0.0,0.3,38.75,0.0
2,2020-01-02 07:29:55,2020-01-02 07:42:12,1,6.17,1,N,87,229,1,18.5,0.0,0.5,4.36,0.0,0.3,26.16,2.5
2,2020-01-02 07:49:24,2020-01-02 07:51:10,3,0.37,1,N,137,137,2,3.5,0.0,0.5,0.0,0.0,0.3,6.8,2.5
2,2020-01-02 07:24:27,2020-01-02 07:46:50,1,10.08,1,N,132,177,2,29.0,0.0,0.5,0.0,0.0,0.3,29.8,0.0
2,2020-01-02 07:23:03,2020-01-02 07:55:34,1,20.37,1,N,132,14,1,54.5,0.0,0.5,11.06,0.0,0.3,66.36,0.0
2,2020-01-02 07:39:06,2020-01-02 07:57:36,5,8.18,1,N,132,93,2,24.5,0.0,0.5,0.0,0.0,0.3,25.3,0.0
1,2020-01-02 07:43:52,2020-01-02 07:51:41,1,2.9,1,N,132,218,2,10.5,0.0,0.5,0.0,0.0,0.3,11.3,0.0
2,2020-01-02 07:16:54,2020-01-02 07:27:39,1,2.22,1,N,100,141,1,10.0,0.0,0.5,1.0,0.0,0.3,14.3,2.5
2,2020-01-02 07:49:19,2020-01-02 07:51:26,1,0.49,1,N,48,246,2,3.5,0.0,0.5,0.0,0.0,0.3,6.8,2.5
2,2020-01-02 07:52:14,2020-01-02 08:08:50,1,7.28,1,N,132,93,2,22.0,0.0,0.5,0.0,0.0,0.3,22.8,0.0
1,2020-01-02 07:00:59,2020-01-02 07:09:38,1,2.9,1,N,48,236,1,10.0,2.5,0.5,2.65,0.0,0.3,15.95,2.5
1,2020-01-02 07:25:39,2020-01-02 07:30:39,1,0.7,1,N,100,161,2,5.0,2.5,0.5,0.0,0.0,0.3,8.3,2.5
